#name	source
ENSMUST00000082908	snRNA
ENSMUST00000162897	processed_transcript
ENSMUST00000159265	processed_transcript
ENSMUST00000070533	protein_coding
ENSMUST00000161581	antisense
ENSMUST00000158795	snRNA
ENSMUST00000027032	protein_coding
ENSMUST00000027035	protein_coding
ENSMUST00000116652	protein_coding
ENSMUST00000180019	snRNA
ENSMUST00000157375	snRNA
ENSMUST00000130201	protein_coding
ENSMUST00000156816	protein_coding
ENSMUST00000045689	nonsense_mediated_decay
ENSMUST00000115538	processed_transcript
ENSMUST00000146665	protein_coding
ENSMUST00000132625	retained_intron
ENSMUST00000134384	nonsense_mediated_decay
ENSMUST00000027036	protein_coding
ENSMUST00000155020	nonsense_mediated_decay
ENSMUST00000119612	protein_coding
ENSMUST00000137887	protein_coding
ENSMUST00000115529	protein_coding
ENSMUST00000150971	protein_coding
ENSMUST00000131119	protein_coding
ENSMUST00000141278	retained_intron
ENSMUST00000081551	protein_coding
ENSMUST00000165720	protein_coding
ENSMUST00000078030	processed_pseudogene
ENSMUST00000002533	protein_coding
ENSMUST00000118000	protein_coding
ENSMUST00000119256	protein_coding
ENSMUST00000170566	nonsense_mediated_decay
ENSMUST00000147158	protein_coding
ENSMUST00000156289	retained_intron
ENSMUST00000168963	processed_pseudogene
ENSMUST00000144339	antisense
ENSMUST00000133521	processed_transcript
ENSMUST00000169520	processed_pseudogene
ENSMUST00000044369	protein_coding
ENSMUST00000160777	protein_coding
ENSMUST00000027038	protein_coding
ENSMUST00000160339	protein_coding
ENSMUST00000159083	retained_intron
ENSMUST00000175274	miRNA
ENSMUST00000044180	protein_coding
ENSMUST00000159906	protein_coding
ENSMUST00000160871	protein_coding
ENSMUST00000159618	antisense
ENSMUST00000097832	antisense
ENSMUST00000027040	protein_coding
ENSMUST00000162210	retained_intron
ENSMUST00000160062	protein_coding
ENSMUST00000162795	protein_coding
ENSMUST00000161327	protein_coding
ENSMUST00000159802	retained_intron
ENSMUST00000162257	nonsense_mediated_decay
ENSMUST00000159206	processed_transcript
ENSMUST00000159661	retained_intron
ENSMUST00000161183	retained_intron
ENSMUST00000159349	retained_intron
ENSMUST00000159530	protein_coding
ENSMUST00000162418	retained_intron
